title,stack,url
Junior Strong Python Engineer,"Python,Django,Flask,FastApi,SQL,Docker,NoSQL",https://djinni.co/jobs/609534-junior-strong-python-engineer/
Middle Full Stack (Django/React) Developer,"Python,React",https://djinni.co/jobs/609548-middle-full-stack-django-react-developer/
Senior Software Engineer (Python),"Python,Django,Flask,Git,Celery,AWS,Docker,Django Rest Framework,React",https://djinni.co/jobs/598331-senior-software-engineer-python-/
Middle Python Developer,"Python,Django,PostgreSQL,Flask,SQL,AWS,Docker,SQLAlchemy",https://djinni.co/jobs/608667-middle-python-developer/
Продуктова компанія перебуває у пошуку Python Engineer,Python,https://djinni.co/jobs/609056-produktova-kompaniia-perebuvaie-u-poshuku-pyt/
Senior Python Developer,"Python,Django,Flask,SQL,Git,AWS,Docker,SQLAlchemy,Kubernetes,React",https://djinni.co/jobs/609149-senior-python-developer/
Junior/Middle Python Engineer,"Python,OOP",https://djinni.co/jobs/608666-junior-middle-python-engineer/
QA Manual/Automation Engineer (with Python),"Python,SQL,AWS,OOP,Linux",https://djinni.co/jobs/609142-qa-manual-automation-engineer-with-python-/
Full-Stack Engineer (Python + React),"Python,AWS",https://djinni.co/jobs/608743-full-stack-engineer-python-react-/
Cyber Security QA with Python,"Python,Redis,REST Api,Kubernetes",https://djinni.co/jobs/609030-cyber-security-qa-with-python/
Networking Engineer,"Python,Flask,Git,Linux",https://djinni.co/jobs/608795-networking-engineer/
Python Engineer (AI),"Python,MySQL,PostgreSQL,SQL",https://djinni.co/jobs/608764-python-engineer-ai-/
Scraping Engineer,"Python,SQL,AWS,Linux,NoSQL",https://djinni.co/jobs/608841-scraping-engineer/
Senior Data Scientist (Python),"Python,AWS",https://djinni.co/jobs/608892-senior-data-scientist-python-/
Senior Full Stack Python Developer,"Python,Django,Git,AWS,React,Vue",https://djinni.co/jobs/608993-senior-full-stack-python-developer/
Senior Python Backend Developer,"Python,AWS,Docker,Kubernetes",https://djinni.co/jobs/290221-senior-python-backend-developer/
Python Developer,"Python,HTML",https://djinni.co/jobs/608822-python-developer/
Senior Python Developer,"Python,MySQL,Mongo,PostgreSQL,SQL,Git,Docker,OOP",https://djinni.co/jobs/569009-senior-python-developer/
Python Developer (Scraping),"Python,Flask,SQL,AWS,Selenium,Linux,NoSQL",https://djinni.co/jobs/600976-python-developer-scraping-/
Python Backend Developer,"Python,Django,Redis,PostgreSQL,Flask,FastApi,SQL,Git,Celery,AWS,Docker,Jira,OOP,Kafka",https://djinni.co/jobs/608435-python-backend-developer/
Data Engineer (машинне навчання),"Python,MySQL,PostgreSQL,SQL,Git,Docker,Kubernetes",https://djinni.co/jobs/536651-data-engineer-mashinne-navchannia-/
Middle Backend Developer,"Django,PostgreSQL,FastApi,SQL,Jira",https://djinni.co/jobs/608431-middle-backend-developer/
Middle Python Developer,"Python,Django,Flask,FastApi,Git,REST Api,OOP",https://djinni.co/jobs/608483-middle-python-developer/
Lead Python Engineer,"Python,AWS",https://djinni.co/jobs/608514-lead-python-engineer/
Python (Django) Developer,"Python,Django,Git,AWS",https://djinni.co/jobs/600288-python-django-developer/
Python Developer (Senior OR Lead),"Python,Django,Flask",https://djinni.co/jobs/608603-python-developer-senior-or-lead-/
Senior Python Developer,"Python,Django,MySQL,PostgreSQL,FastApi,SQL,Git,AWS,Docker,SQLAlchemy",https://djinni.co/jobs/608265-senior-python-developer/
Senior Python Developer Competency Lead,"Python,Django,DRF,Mongo,Redis,PostgreSQL,SQL,REST Api,AWS,Docker,OOP,Kubernetes,Linux,NoSQL",https://djinni.co/jobs/608246-senior-python-developer-competency-lead/
Junior/Middle Python Engineer,"Python,OOP",https://djinni.co/jobs/608228-junior-middle-python-engineer/
Sr Python Engineer,"Python,PostgreSQL,SQL,Docker",https://djinni.co/jobs/479193-sr-python-engineer/
Senior Python Developer (short-term project),"Python,Mongo,FastApi,REST Api,Jira,OOP",https://djinni.co/jobs/600573-senior-python-developer-short-term-project-/
Python (Django) developer,"Python,Django,MySQL,Mongo,Redis,PostgreSQL,Flask,SQL,Git,Docker,Selenium,NoSQL",https://djinni.co/jobs/608521-python-django-developer/
Backend (Python) Software Developer for  Swedish Product in Event Domain,"Python,Mongo,Redis,FastApi,Git,JavaScript,Kubernetes",https://djinni.co/jobs/607723-backend-python-software-developer-for-swedish/
Middle Python Developer,"Python,Docker",https://djinni.co/jobs/588728-middle-python-developer/
Full Stack Python Developer,"Python,Django,MySQL,Mongo,PostgreSQL,SQL,Git,AWS,Docker,Linux,Angular,React",https://djinni.co/jobs/592719-full-stack-python-developer/
Backend developer,"Python,PostgreSQL,SQL,Docker,OOP,NoSQL",https://djinni.co/jobs/582017-backend-developer/
Middle Python Developer,"Python,PostgreSQL,SQL,JavaScript,Linux",https://djinni.co/jobs/586564-middle-python-developer/
Backend developer (Python),"Python,FastApi,Git,Celery,AWS,OOP",https://djinni.co/jobs/608001-backend-developer-python-/
FullStack Developer (Python + React or Angular),"Python,PostgreSQL,SQL,JavaScript,HTML,CSS,Angular,React",https://djinni.co/jobs/581566-fullstack-developer-python-react-or-angular-/
Middle Python Developer,"Python,PostgreSQL,Flask,SQL,Celery,AWS,HTML,SQLAlchemy,Linux",https://djinni.co/jobs/463004-middle-python-developer/
Lead Python Engineer,"Python,SQL,OOP,Kafka,NoSQL",https://djinni.co/jobs/600414-lead-python-engineer/
PySpark Engineer,"Python,SQL,AWS,OOP,Kafka",https://djinni.co/jobs/608130-pyspark-engineer/
AQA Python,"Python,SQL,Git,AWS,Docker,HTML",https://djinni.co/jobs/608051-aqa-python/
Developer (f/m/d) with Python knowledge and interest in machine learning,"Python,Git",https://djinni.co/jobs/608102-developer-f-m-d-with-python-knowledge-and-int/
Developer (f/m/d) with Python knowledge and interest in machine learning,"Python,Git",https://djinni.co/jobs/608116-developer-f-m-d-with-python-knowledge-and-int/
Computer Vision engineer,"Python,Git,Docker,Linux",https://djinni.co/jobs/308071-computer-vision-engineer/
Senior Python Engineer with Scraping,"Python,MySQL,Redis,SQL,Git,Celery,AWS,Docker,Selenium,SQLAlchemy",https://djinni.co/jobs/608156-senior-python-engineer-with-scraping/
QA Manual/Automation Engineer (with Python),"Python,SQL,AWS,OOP,Linux",https://djinni.co/jobs/607679-qa-manual-automation-engineer-with-python-/
Tech Lead Data Engineer (Python),"Python,Django,SQL,Docker,JavaScript,Linux",https://djinni.co/jobs/607545-tech-lead-data-engineer-python-/
Python Engineer with Data experience,"Python,SQL,Docker,OOP",https://djinni.co/jobs/607570-python-engineer-with-data-experience/
Python developer,"Python,PostgreSQL,FastApi,SQL,Docker,HTML,CSS,Vue",https://djinni.co/jobs/607553-python-developer/
Python ML/AI,"Python,SQL,Git,AWS,Docker,NoSQL",https://djinni.co/jobs/607144-python-ml-ai/
Python Engineer (Вчасно КЕП),"Python,Redis,PostgreSQL,Flask,SQL,Git,AWS,Docker,Kafka,Kubernetes,React",https://djinni.co/jobs/607540-python-engineer-vchasno-kep-/
Senior (AI ML) Developer,"Python,JavaScript,React",https://djinni.co/jobs/607706-senior-ai-ml-developer/
Full-Stack Developer (Go/Python),"Git,REST Api,AWS,Docker,JavaScript,CSS,Vue",https://djinni.co/jobs/607524-full-stack-developer-go-python-/
Middle Python Engineer in UAV Product,"Python,SQL,NoSQL",https://djinni.co/jobs/607415-middle-python-engineer-in-uav-product/
Python Developer / Data Engineer,"Python,Flask,SQL,Git,REST Api,Docker,SQLAlchemy,Kubernetes",https://djinni.co/jobs/488727-python-developer-data-engineer/
Python Developer (Strong Middle/Senior),"Python,Django,Redis,PostgreSQL,FastApi,SQL,Git,Docker,Kafka,Linux,NoSQL",https://djinni.co/jobs/607246-python-developer-strong-middle-senior-/
Python/Django Engineer,"Python,Django,React",https://djinni.co/jobs/556932-python-django-engineer/
Senior Python Software Engineer with Data Science experience (in Europe),Python,https://djinni.co/jobs/607480-senior-python-software-engineer-with-data-sci/
Python Developer,"Python,Django,Flask,SQL,AWS,Docker,OOP,Kubernetes,NoSQL",https://djinni.co/jobs/593926-python-developer/
Data Mining Engineer needed for data centric startup,"Python,Git,Docker,Selenium,Kubernetes",https://djinni.co/jobs/256433-data-mining-engineer-needed-for-data-centric-/
Senior Python develoepr,"Python,Django,DRF,Mongo,SQL,Celery,AWS,Docker,SQLAlchemy,Vue",https://djinni.co/jobs/606727-senior-python-develoepr/
Python (Django) Engineer,"Python,Django,FastApi,AWS",https://djinni.co/jobs/607138-python-django-engineer/
Python Developer,"Python,SQL,OOP,Linux,NoSQL",https://djinni.co/jobs/606620-python-developer/
Senior  Backend developer Python (with Rust Experience),"Python,Redis,FastApi,Kafka",https://djinni.co/jobs/606761-senior-backend-developer-python-with-rust-exp/
Lead Tools Programmer,"Python,Git,OOP",https://djinni.co/jobs/606691-lead-tools-programmer/
Middle+ ML (Python developer) for a Swedish company,"Python,SQL,Git,React",https://djinni.co/jobs/606682-middle-ml-python-developer-for-a-swedish-comp/
Middle Python Developer,"Python,Django,PostgreSQL,SQL,Celery,AWS,Docker,Django Rest Framework",https://djinni.co/jobs/606776-middle-python-developer/
"Full-stack engineer (React, Python, Django)","Python,Django,SQL,Git,AWS,Docker,OOP,Kubernetes,React,NoSQL",https://djinni.co/jobs/606744-full-stack-engineer-react-python-django-/
Backend Developer (Python),"Python,DRF,PostgreSQL,SQL,Git,Celery,Docker,OOP,Angular",https://djinni.co/jobs/607033-backend-developer-python-/
Python Engineer,"Python,Django,Mongo,SQL,Celery,AWS,Docker,Kubernetes",https://djinni.co/jobs/607084-python-engineer/
AI/ML Python Software Engineer (Vision),"Python,PostgreSQL,SQL,Git,AWS",https://djinni.co/jobs/607086-ai-ml-python-software-engineer-vision-/
Senior Full-stack (Python+React) developer,"Python,Django,JavaScript,React",https://djinni.co/jobs/606934-senior-full-stack-python-react-developer/
Team Lead Python Developer,"Python,SQL",https://djinni.co/jobs/599685-team-lead-python-developer/
QA engineer,Python,https://djinni.co/jobs/606877-qa-engineer/
Python Developer (Strong Junior),"Python,Django,MySQL,PostgreSQL,Flask,FastApi,SQL,Docker,HTML,CSS,Linux",https://djinni.co/jobs/606848-python-developer-strong-junior-/
Python Backend Engineer (Outstaff project),"Python,Django,MySQL,Redis,FastApi,SQL,Bootstrap,JavaScript,HTML,OOP",https://djinni.co/jobs/606492-python-backend-engineer-outstaff-project-/
Senior/Lead Python Software Engineer,"Python,Django,DRF,PostgreSQL,SQL,Git,Docker,Bootstrap,HTML,Kubernetes,Vue",https://djinni.co/jobs/606225-senior-lead-python-software-engineer/
"Senior DevOps Engineer 3+ years (Python, cloud) Israel working schedule","Python,Redis,SQL,Docker,OOP,Kafka,Kubernetes,NoSQL",https://djinni.co/jobs/606376-senior-devops-engineer-3-years-python-cloud-i/
Middle to Senior Python Engineer,"Python,Django,MySQL,Mongo,PostgreSQL,Flask,FastApi,SQL,AWS,JavaScript,HTML,CSS",https://djinni.co/jobs/598977-middle-to-senior-python-engineer/
Senior Python Engineer (Integrations),"Python,Django,FastApi,SQL,Docker,NoSQL",https://djinni.co/jobs/606509-senior-python-engineer-integrations-/
Продуктова компанія в пошуку Python Engineer для створення продукту з нуля,Python,https://djinni.co/jobs/606391-produktova-kompaniia-v-poshuku-python-enginee/
